package	version	license
abind	1.4-8	MIT + file LICENSE
backports	1.5.1	GPL-2 | GPL-3
checkmate	2.3.4	BSD_3_clause + file LICENSE
cli	3.6.6	MIT + file LICENSE
digest	0.6.39	GPL (>= 2)
distributional	0.5.0	GPL-3
generics	0.1.4	MIT + file LICENSE
glue	1.8.1	MIT + file LICENSE
lifecycle	1.0.5	MIT + file LICENSE
magrittr	2.0.5	MIT + file LICENSE
matrixStats	1.5.0	Artistic-2.0
numDeriv	2016.8-1.1	GPL-2
pillar	1.11.1	MIT + file LICENSE
pkgconfig	2.0.3	MIT + file LICENSE
posterior	1.7.0	BSD_3_clause + file LICENSE
rlang	1.3.0	MIT + file LICENSE
tensorA	0.36.2.1	GPL (>= 2)
tibble	3.3.1	MIT + file LICENSE
utf8	1.2.6	Apache License (== 2.0) | file LICENSE
vctrs	0.7.3	MIT + file LICENSE
