build	component	file	expected_sha256	observed_sha256	status	rows_expected	rows_observed	differing_numeric_cells	max_absolute_difference
A	simulation	COMMON_RETURNED_UNIVERSE.tsv	abf56c12a6f3c98de574cc77d047285b6b25105f85dcddc25027dc85456cd872	abf56c12a6f3c98de574cc77d047285b6b25105f85dcddc25027dc85456cd872	BYTE_IDENTICAL	240000	240000	0	0.0
A	simulation	DESIGN_CHANGE_STRATA.tsv	9b09bf01e1f28701d562fa53a79a7a90c189ad9d0631321510428eedb24a5b22	9b09bf01e1f28701d562fa53a79a7a90c189ad9d0631321510428eedb24a5b22	BYTE_IDENTICAL	480	480	0	0.0
A	simulation	GENE_RANK_RECOVERY_LONG.tsv	95bc8283f4a7c672bcbec3314117b0af6910e72048c8dc430b557aebda1a731d	95bc8283f4a7c672bcbec3314117b0af6910e72048c8dc430b557aebda1a731d	BYTE_IDENTICAL	691200	691200	0	0.0
A	simulation	INHERITED_SIMULATION_CLASS_RECALL_COVERAGE.tsv	4b4f90faf9ab361005316c885732b010c139e838d8c95f8a9c953a47f6f010ad	4b4f90faf9ab361005316c885732b010c139e838d8c95f8a9c953a47f6f010ad	BYTE_IDENTICAL	84	84	0	0.0
A	simulation	INHERITED_SIMULATION_CONFUSION_MATRIX.tsv	8b015c13a312b92978c19a6fd487361b3b1ac5dcde1ac1f7e293f457bfac3be3	8b015c13a312b92978c19a6fd487361b3b1ac5dcde1ac1f7e293f457bfac3be3	BYTE_IDENTICAL	336	336	0	0.0
A	simulation	INHERITED_SIMULATION_DIRECTION_RECORDS.tsv	4c6204f4ffbd1545bda63056babede39df9e0633f379053a45b8e303937336eb	4c6204f4ffbd1545bda63056babede39df9e0633f379053a45b8e303937336eb	BYTE_IDENTICAL	1920	1920	0	0.0
A	simulation	INHERITED_SIMULATION_DIRECTION_SUMMARY.tsv	e19e49f11871df7b22960f51c359d837d036a2b89132ca699e1267866344c30a	e19e49f11871df7b22960f51c359d837d036a2b89132ca699e1267866344c30a	BYTE_IDENTICAL	28	28	0	0.0
A	simulation	INHERITED_SIMULATION_SIGNAL_SOURCE_ROWS.tsv	5310041f9405ce804688d309485fbbf94e4afb8c85dae2777b1a4b6f60cbac13	5310041f9405ce804688d309485fbbf94e4afb8c85dae2777b1a4b6f60cbac13	BYTE_IDENTICAL	1440	1440	0	0.0
A	simulation	METHOD_AVAILABILITY.tsv	1298f28f65832e8f4f853bcaa8e892821f2d8d9d699398d6affa0ad6084370f2	1298f28f65832e8f4f853bcaa8e892821f2d8d9d699398d6affa0ad6084370f2	BYTE_IDENTICAL	720	720	0	0.0
A	simulation	SAME_SCALE_ERROR_LONG.tsv	63b43c9402f685ee602a25ebac4910604965d7cf04ecb83e58420dbde5d01947	63b43c9402f685ee602a25ebac4910604965d7cf04ecb83e58420dbde5d01947	BYTE_IDENTICAL	806400	806400	0	0.0
